t,x_dot,y_dot
0.0,0.0,0.0
0.02,8.034886936748988,2.718456914795945
0.04,8.034886936748988,2.718456914795945
0.06,0.0,0.0
0.08,0.0,0.0
0.1,0.0,0.0
0.12,0.0,0.0
0.14,0.0,0.0
0.16,0.0,0.0
0.18,0.0,0.0
0.2,0.0,0.0
0.22,0.0,0.0
0.24,0.0,0.0
0.26,0.0,0.0
0.28,0.0,0.0
0.3,0.0,0.0
0.32,0.0,0.0
0.34,0.0,0.0
0.36,0.0,0.0
0.38,0.0,0.0
0.4,0.0,0.0
0.42,0.0,0.0
0.44,0.0,0.0
0.46,0.0,0.0
0.48,0.0,0.0
0.5,0.0,0.0
0.52,0.0,0.0
0.54,0.0,0.0
0.56,0.14136957958905405,-0.0007686865550596278
0.58,0.0,0.0
0.6,0.0,0.0
0.62,0.0,0.0
0.64,0.1413528613798759,-0.0023059687611612367
0.66,0.1412692802191362,-0.00537953330443236
0.68,0.0,0.0
0.7000000000000001,0.0,0.0
0.72,0.0,0.0
0.74,0.0,0.0
0.76,0.0,0.0
0.78,0.14061791239537713,-0.014579150378949551
0.8,0.0,0.0
0.8200000000000001,0.14006753715719023,-0.019158130047718797
0.84,0.0,0.0
0.86,0.13961776301275042,-0.022199755933832027
0.88,0.13881934767777382,-0.026742057185696194
0.9,0.0,0.0
0.92,0.0,0.0
0.9400000000000001,0.13787319439672596,-0.03125589830813014
0.96,0.1371608397211399,-0.034246940873566833
0.98,0.0,0.0
1.0,0.0,0.0
1.02,0.0,0.0
1.04,0.0,0.0
1.06,0.0,0.0
1.08,0.26879912593875677,-0.08769735197475537
1.1,0.13315793602196035,-0.047485924088908754
1.12,0.0,0.0
1.1400000000000001,0.0,0.0
1.16,0.0,0.0
1.18,0.0,0.0
1.2,0.0,0.0
1.22,0.12977840027912635,-0.0560670646029951
1.24,0.12852837249936466,-0.058876195315850366
1.26,0.0,0.0
1.28,0.1278805217677037,-0.060270399572478345
1.3,0.12653952968228188,-0.06303726152041139
1.32,0.0,0.0
1.34,0.0,0.0
1.36,0.0,0.0
1.3800000000000001,0.0,0.0
1.4000000000000001,0.0,0.0
1.42,0.12216009639358094,-0.07115377545370838
1.44,0.2419664542327754,-0.146273820880026
1.46,0.238728096718005,-0.15150145704323215
1.48,0.0,0.0
1.5,0.1163951002155883,-0.08023795584390925
1.52,0.22651510503335914,-0.16921791524702537
1.54,0.11186239487548377,-0.08644508965191394
1.56,0.11091573084014428,-0.08765642911049212
1.58,0.10898316595933932,-0.09004786754657351
1.6,0.10598795213644652,-0.09355481235152202
1.62,0.10392827602916099,-0.09583768754416189
1.6400000000000001,0.102879941051362,-0.09696219181451193
1.6600000000000001,0.0,0.0
1.68,0.09633887437288102,-0.10346385937501229
1.7,0.09406598067208394,-0.10553454501917789
1.72,0.09291278008403125,-0.10655122809832898
1.74,0.0,0.0
1.76,0.08576769676367224,-0.1123826103276715
1.78,0.08330334028997799,-0.11422128702101714
1.8,0.08205631185904949,-0.11512041780803693
1.82,0.079533291952541,-0.11687773262429972
1.84,0.07567860062121512,-0.11940979155923778
1.86,0.07306380478590557,-0.12102739087666431
1.8800000000000001,0.07174336863612074,-0.12181476909204313
1.9000000000000001,0.1394937108773725,-0.24593759426830875
1.92,0.06501708131510242,-0.12553377254536333
1.94,0.06088776783616523,-0.12758772919107575
1.96,0.05949671105639487,-0.1282423108247735
1.98,0.11479396998942959,-0.25839144742597214
2.0,0.053863781200777505,-0.13070823228458447
2.02,0.0,-6.938893903907228e-16
2.04,0.04812894847704696,-0.13292687174044115
2.06,0.384004134025126,-1.5069308688286038
2.08,0.02135585180797206,-0.1397493345449686
2.1,0.07778452140440317,-0.8446559826753739
2.12,0.0029891285689503944,-0.14134006517121708
2.14,-0.00956546804118108,-0.5654057697056597
2.16,-0.01400151737596389,-0.28239644679066667
2.18,-0.03250930506795424,-0.4228672194600262
2.2,-0.046285277044758044,-0.42158179910752946
2.22,-0.02000399669902786,-0.1399492373265098
2.24,-0.10125966010593734,-0.5563467118897405
2.2600000000000002,-0.05967647092503525,-0.2763738671921735
2.2800000000000002,-0.06567287289872825,-0.275010671454854
2.3000000000000003,-0.14921669434527773,-0.5454443699626603
2.32,-0.08346441980581765,-0.2701434549925323
2.34,-0.13616553574384294,-0.40166215540606565
2.36,-0.1491946736473876,-0.397006913749752
2.38,-0.10662105459191829,-0.2618697125796175
2.4,-0.17055028792597737,-0.38831191006486115
2.42,-0.18312566467406088,-0.38254219525110517
2.44,-0.12897122148774476,-0.2516152214727535
2.46,-0.20364501975129456,-0.3720245235738495
2.48,-0.21567151681789742,-0.3651839769805376
2.5,-0.15034586671670014,-0.23945754531863594
2.52,-0.23519940694138042,-0.3529231916214626
2.54,-0.2465860574555223,-0.34506355425978213
2.56,-0.170583315222117,-0.22548864320993123
2.58,-0.2649747761857557,-0.33115239421626225
2.6,-0.2756354529931698,-0.3223331153684089
2.62,-0.1895304935565112,-0.2098141741185458
2.64,-0.39254690401470116,-0.40704067455693965
2.66,-0.202807527207019,-0.19700990471800683
2.68,-0.20704408770937932,-0.1925526977048453
2.7,-0.4264293685259518,-0.37139355979049354
2.72,-0.2191583679254483,-0.17864323501627227
2.74,-0.23033994263203794,-0.16397349321489035
2.7600000000000002,0.0,-1.3877787807814457e-15
2.7800000000000002,-0.9089223614198338,-0.3913714828766665
2.8000000000000003,-0.13642848070226088,-0.03705696379197737
2.82,-0.13913233169995376,-0.025062784919904768
2.84,-0.14047041650259717,-0.015937722540912413
2.86,-0.1412106800464552,-0.006744831578586741
2.88,-0.5654453976025348,0.006832636783173085
2.9,-0.1410064681242329,0.010155041079998317
2.92,-0.41877251107542146,0.06710532152846838
2.94,-0.5506497390140058,0.12868584816952688
2.96,-5.551115123125783e-15,1.3877787807814457e-15
2.98,-0.13203277020811532,0.05053015439691888
3.0,-2.7755575615628914e-15,1.3877787807814457e-15
3.02,-0.12505911492528,0.06592546311034592
3.04,-5.551115123125783e-15,2.7755575615628914e-15
3.06,-0.11452250342080528,0.08288875148315111
3.08,-5.551115123125783e-15,4.163336342344337e-15
3.1,-0.10276270608922666,0.09708643133530537
3.12,-2.7755575615628914e-15,2.7755575615628914e-15
3.14,-0.08563184173127347,0.11248616178852894
3.16,-0.07811528112307009,0.11783018190289624
3.18,-0.21478838076276485,0.365704104022857
3.2,-0.13381126341529548,0.24907497150864072
3.22,-1.3877787807814457e-15,2.7755575615628914e-15
3.24,-0.10026216972538748,0.2643696143106847
3.2600000000000002,-2.7755575615628914e-15,8.326672684688674e-15
3.2800000000000002,-0.07097701686082647,0.27368971249639024
3.3000000000000003,-0.0756169291569686,0.5604081214794887
3.3200000000000003,-0.020493920282048383,0.5651151934134957
3.34,-0.021521020002585045,0.8479569603095871
3.36,-0.00102491821246109,0.2827414812005491
3.38,0.016653416427353518,0.706662144540407
3.4,0.03201780555975725,0.7061328366053228
3.42,0.0522378667723325,0.8466199655775205
3.44,0.04096091448943934,0.5640012287925343
3.46,0.059335961020021144,0.5623650294293971
3.48,0.09325136215175972,0.7006803167365211
3.5,0.08373442204520909,0.5592528311596144
3.52,0.16247958016399888,0.9761720559040004
3.54,0.09587712152400729,0.5572995246396355
3.56,0.1528977336935522,0.8343359298692473
3.58,0.1710065200660832,0.8308134152349157
3.6,0.18003111350614054,0.828904674259444
3.62,0.15377957748084203,0.6899279414221194
3.64,0.25204588888938506,1.102530543919368
3.66,0.16127312630484503,0.6882148658209929
3.68,0.13201024321877475,0.5498622357287465
3.7,0.20697289591257717,0.8225912601024717
3.72,0.14393730040841435,0.5468612585898098
3.74,0.22481347251519235,0.8178955088610607
3.7600000000000002,0.19843714827625647,0.6784330630129467
3.7800000000000002,0.20580305512903907,0.6762350370283277
3.8000000000000003,0.1792875559574858,0.5363125533437443
3.8200000000000003,0.29502875125810846,0.7952686318285718
3.84,0.20243965235887118,0.5280088727929816
